timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595152724972,10,48 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,799,380,1,1,http://ocsp.digicert.com/,10,0,0
1595152724983,9,47 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,799,380,1,1,http://ocsp.digicert.com/,9,0,0
1595152726069,9,25 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,8,0,4
1595152726079,5,27 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152726086,4,26 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1595152726091,6,28 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,6,0,0
1595152726098,5,30 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1595152726104,5,29 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152726112,311,31 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,2341,371,1,1,http://ocsp.godaddy.com/,311,0,149
1595152726426,90,32 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,2537,381,1,1,http://ocsp.msocsp.com/,90,0,41
1595152726517,4,33 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,4,0,0
1595152726523,5,34 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1595152726528,5,35 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152726534,5,36 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,5,0,0
1595152726540,4,38 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1595152726545,5,37 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152726551,7,39 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,7,0,0
1595152726559,5,40 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1595152726565,4,41 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1595152726572,116,43 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,116,0,40
1595152726689,76,42 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,76,0,0
1595152726766,81,44 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,81,0,0
1595152726850,35,45 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,294,381,1,1,http://ocsp.digicert.com/,35,0,19
1595152726886,8,46 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,799,380,1,1,http://ocsp.digicert.com/,8,0,0
